,Sentence,sequences,length,Emotion
9387,increasing frustration feel petty artificially drama,"['increasing', 'frustration', 'feel', 'petty', 'artificially', 'drama']",6,anger
9389,feel irritable like running cure,"['feel', 'irritable', 'like', 'running', 'cure']",5,anger
9390,dont drink green water day feel irritable,"['dont', 'drink', 'green', 'water', 'day', 'feel', 'irritable']",7,anger
9392,tired feel,"['tired', 'feel']",2,anger
9393,also feel strange ripe old age twenty three want life partner,"['also', 'feel', 'strange', 'ripe', 'old', 'age', 'twenty', 'three', 'want', 'life', 'partner']",11,fear
9394,feeling bit jaded,"['feeling', 'bit', 'jaded']",3,sadness
9398,suppose natural squeeze every half hour last five day spend time family making memory friend promising feel like someone el life numb way,"['suppose', 'natural', 'squeeze', 'every', 'half', 'hour', 'last', 'five', 'day', 'spend', 'time', 'family', 'making', 'memory', 'friend', 'promising', 'feel', 'like', 'someone', 'el', 'life', 'numb', 'way']",23,sadness
9400,feel extremely awkward interview people job,"['feel', 'extremely', 'awkward', 'interview', 'people', 'job']",6,sadness
9402,feel dismayed feel like everything thought true lie one thing never say good bye,"['feel', 'dismayed', 'feel', 'like', 'everything', 'thought', 'true', 'lie', 'one', 'thing', 'never', 'say', 'good', 'bye']",14,sadness
9404,feeling anxious watching important game bar broke heart missing meeting cute boy,"['feeling', 'anxious', 'watching', 'important', 'game', 'bar', 'broke', 'heart', 'missing', 'meeting', 'cute', 'boy']",12,fear
9405,think thats exactly ill love year school leaving time whereas feel sad leave behind friend year within music department well year form worked year amazing violin pupil,"['think', 'thats', 'exactly', 'ill', 'love', 'year', 'school', 'leaving', 'time', 'whereas', 'feel', 'sad', 'leave', 'behind', 'friend', 'year', 'within', 'music', 'department', 'well', 'year', 'form', 'worked', 'year', 'amazing', 'violin', 'pupil']",27,sadness
9407,feel really anxious,"['feel', 'really', 'anxious']",3,fear
9408,feel terribly unkind say span style font size,"['feel', 'terribly', 'unkind', 'say', 'span', 'style', 'font', 'size']",8,anger
9410,feel resentful,"['feel', 'resentful']",2,anger
9411,feeling pretty miserable sorry,"['feeling', 'pretty', 'miserable', 'sorry']",4,sadness
9413,feel obnoxious another word,"['feel', 'obnoxious', 'another', 'word']",4,anger
9415,feeling guilty written beautiful poetic post thankful,"['feeling', 'guilty', 'written', 'beautiful', 'poetic', 'post', 'thankful']",7,sadness
9416,husband even though love love heart feeling felt today stood vulnerable grew deep strong didnt could love,"['husband', 'even', 'though', 'love', 'love', 'heart', 'feeling', 'felt', 'today', 'stood', 'vulnerable', 'grew', 'deep', 'strong', 'didnt', 'could', 'love']",17,fear
9419,feel today one week surgery major abdominal surgery,"['feel', 'today', 'one', 'week', 'surgery', 'major', 'abdominal', 'surgery']",8,sadness
9420,feeling weepy sensitive today time roll towards anniversary father death,"['feeling', 'weepy', 'sensitive', 'today', 'time', 'roll', 'towards', 'anniversary', 'father', 'death']",10,sadness
9421,remember feeling impatient endless convoluted fairy tale told throughout book,"['remember', 'feeling', 'impatient', 'endless', 'convoluted', 'fairy', 'tale', 'told', 'throughout', 'book']",10,anger
9423,sure feel there empty space left,"['sure', 'feel', 'there', 'empty', 'space', 'left']",6,sadness
9424,believe feeling duality spirituality suffering growth upright position offer manifestation happiness simple joy fulfillment,"['believe', 'feeling', 'duality', 'spirituality', 'suffering', 'growth', 'upright', 'position', 'offer', 'manifestation', 'happiness', 'simple', 'joy', 'fulfillment']",14,sadness
9427,admit feel little envious hear young writer well,"['admit', 'feel', 'little', 'envious', 'hear', 'young', 'writer', 'well']",8,anger
9429,feel like need tattoo peggy quote onto arm see next time feel disgusted disdainful disappointed child behavior,"['feel', 'like', 'need', 'tattoo', 'peggy', 'quote', 'onto', 'arm', 'see', 'next', 'time', 'feel', 'disgusted', 'disdainful', 'disappointed', 'child', 'behavior']",17,anger
9430,found day feeling unsure ability,"['found', 'day', 'feeling', 'unsure', 'ability']",5,sadness
9431,would feel,"['would', 'feel']",2,sadness
9433,look beefy even though older feel dirty feel like one would like one,"['look', 'beefy', 'even', 'though', 'older', 'feel', 'dirty', 'feel', 'like', 'one', 'would', 'like', 'one']",13,sadness
9436,feel like bit reading series order,"['feel', 'like', 'bit', 'reading', 'series', 'order']",6,sadness
9437,risk feeling vulnerable feeling everyone staring examining every little dimple thigh sag arm,"['risk', 'feeling', 'vulnerable', 'feeling', 'everyone', 'staring', 'examining', 'every', 'little', 'dimple', 'thigh', 'sag', 'arm']",13,fear
9441,know feeling strange sense serendipity mind collide page,"['know', 'feeling', 'strange', 'sense', 'serendipity', 'mind', 'collide', 'page']",8,fear
9442,apologize anyone may feel neglectful slacker,"['apologize', 'anyone', 'may', 'feel', 'neglectful', 'slacker']",6,sadness
9444,stoned feel leg muscle seizing petrified meat,"['stoned', 'feel', 'leg', 'muscle', 'seizing', 'petrified', 'meat']",7,fear
9445,feeling laughing stock among peer,"['feeling', 'laughing', 'stock', 'among', 'peer']",5,sadness
9447,remember feeling frantic point,"['remember', 'feeling', 'frantic', 'point']",4,fear
9450,still feeling terrible even though good day,"['still', 'feeling', 'terrible', 'even', 'though', 'good', 'day']",7,sadness
9451,drove away today feeling news trillion time news heart know already,"['drove', 'away', 'today', 'feeling', 'news', 'trillion', 'time', 'news', 'heart', 'know', 'already']",11,fear
9453,love feeling cold nipping nose warm clothes,"['love', 'feeling', 'cold', 'nipping', 'nose', 'warm', 'clothes']",7,anger
9454,hoped feel shiver ran maybe away,"['hoped', 'feel', 'shiver', 'ran', 'maybe', 'away']",6,fear
9455,honestly hoped wake one day feeling terrible cry blood whatever,"['honestly', 'hoped', 'wake', 'one', 'day', 'feeling', 'terrible', 'cry', 'blood', 'whatever']",10,sadness
9457,drawn totally solid neutral bag black brown throw vibrant patent red maybe feeling dangerous metallic clutch usually adventurous get accessory,"['drawn', 'totally', 'solid', 'neutral', 'bag', 'black', 'brown', 'throw', 'vibrant', 'patent', 'red', 'maybe', 'feeling', 'dangerous', 'metallic', 'clutch', 'usually', 'adventurous', 'get', 'accessory']",20,anger
9458,feel numb,"['feel', 'numb']",2,sadness
9460,feel like embarrassed anything cannot let go,"['feel', 'like', 'embarrassed', 'anything', 'cannot', 'let', 'go']",7,sadness
9461,feel like sad anti social person,"['feel', 'like', 'sad', 'anti', 'social', 'person']",6,sadness
9462,feeling ugly,"['feeling', 'ugly']",2,sadness
9463,feel worthless unwanted time always felt among friend pretty oh like forever feeling inferior stuff la,"['feel', 'worthless', 'unwanted', 'time', 'always', 'felt', 'among', 'friend', 'pretty', 'oh', 'like', 'forever', 'feeling', 'inferior', 'stuff', 'la']",16,sadness
9464,feeling sad remind talented good thing also see thing inspire place,"['feeling', 'sad', 'remind', 'talented', 'good', 'thing', 'also', 'see', 'thing', 'inspire', 'place']",11,sadness
9466,still feeling broke month friend moment want back well,"['still', 'feeling', 'broke', 'month', 'friend', 'moment', 'want', 'back', 'well']",9,sadness
9467,feel violent want break glass,"['feel', 'violent', 'want', 'break', 'glass']",5,anger
9468,make assumption based see think feel strange thing,"['make', 'assumption', 'based', 'see', 'think', 'feel', 'strange', 'thing']",8,fear
9469,feel like waiting unpleasant meeting someone authoritative position,"['feel', 'like', 'waiting', 'unpleasant', 'meeting', 'someone', 'authoritative', 'position']",8,sadness
9471,feel ashamed unproductive day,"['feel', 'ashamed', 'unproductive', 'day']",4,sadness
9472,ignore shell keep trying trying trying till break feel horrible,"['ignore', 'shell', 'keep', 'trying', 'trying', 'trying', 'till', 'break', 'feel', 'horrible']",10,sadness
9474,feel helpless mother able take pain away small child could young adult age hurt see pain,"['feel', 'helpless', 'mother', 'able', 'take', 'pain', 'away', 'small', 'child', 'could', 'young', 'adult', 'age', 'hurt', 'see', 'pain']",16,fear
9475,drive home feel like petty thief stolen exposure crudely stuck camera ancient,"['drive', 'home', 'feel', 'like', 'petty', 'thief', 'stolen', 'exposure', 'crudely', 'stuck', 'camera', 'ancient']",12,anger
9476,refuse let feel bitter small sacrifice make,"['refuse', 'let', 'feel', 'bitter', 'small', 'sacrifice', 'make']",7,anger
9478,feel wonder dont know whats right,"['feel', 'wonder', 'dont', 'know', 'whats', 'right']",6,fear
9481,leave school feeling sentimental,"['leave', 'school', 'feeling', 'sentimental']",4,sadness
9482,understand feeling like ugly brown pair shoe world designer tuxedo complete diamond,"['understand', 'feeling', 'like', 'ugly', 'brown', 'pair', 'shoe', 'world', 'designer', 'tuxedo', 'complete', 'diamond']",12,sadness
9483,feel,['feel'],1,sadness
9484,love love feel lethargic sweat three day,"['love', 'love', 'feel', 'lethargic', 'sweat', 'three', 'day']",7,sadness
9485,dazed confused woman look look wise man feel aspire,"['dazed', 'confused', 'woman', 'look', 'look', 'wise', 'man', 'feel', 'aspire']",9,sadness
9486,like much feel obnoxious getting involved nothing,"['like', 'much', 'feel', 'obnoxious', 'getting', 'involved', 'nothing']",7,anger
9487,feel like fan see girl good guy,"['feel', 'like', 'fan', 'see', 'girl', 'good', 'guy']",7,fear
9488,going liquor store life still feel bit dirty walking one like something shouldnt,"['going', 'liquor', 'store', 'life', 'still', 'feel', 'bit', 'dirty', 'walking', 'one', 'like', 'something', 'shouldnt']",13,sadness
9491,feel disturbed unreasonable lie life taking towards,"['feel', 'disturbed', 'unreasonable', 'lie', 'life', 'taking', 'towards']",7,sadness
9494,back home feeling restless,"['back', 'home', 'feeling', 'restless']",4,fear
9495,hit ground feel daddy let go completely get,"['hit', 'ground', 'feel', 'daddy', 'let', 'go', 'completely', 'get']",8,fear
9497,know million stroller baby world thought stroller made someone feel felt many time broke heart,"['know', 'million', 'stroller', 'baby', 'world', 'thought', 'stroller', 'made', 'someone', 'feel', 'felt', 'many', 'time', 'broke', 'heart']",15,sadness
9499,feel dull inadequate around big house constrained extrovert home,"['feel', 'dull', 'inadequate', 'around', 'big', 'house', 'constrained', 'extrovert', 'home']",9,sadness
9500,feel summer session title bookmark rel target blank,"['feel', 'summer', 'session', 'title', 'bookmark', 'rel', 'target', 'blank']",8,sadness
9502,involved group turn speak front class could feel nervous,"['involved', 'group', 'turn', 'speak', 'front', 'class', 'could', 'feel', 'nervous']",9,fear
9503,feel inside,"['feel', 'inside']",2,anger
9504,feel moment,"['feel', 'moment']",2,anger
9506,feel jaded,"['feel', 'jaded']",2,sadness
9507,choose feel,"['choose', 'feel']",2,sadness
9509,feel class size full image,"['feel', 'class', 'size', 'full', 'image']",5,anger
9511,thought felt movie thought feeling fear dont think fault although think blamed think fault read whole labyrinth book wished come take toby away,"['thought', 'felt', 'movie', 'thought', 'feeling', 'fear', 'dont', 'think', 'fault', 'although', 'think', 'blamed', 'think', 'fault', 'read', 'whole', 'labyrinth', 'book', 'wished', 'come', 'take', 'toby', 'away']",23,sadness
9512,aa meeting today really feel isolated everyone room,"['aa', 'meeting', 'today', 'really', 'feel', 'isolated', 'everyone', 'room']",8,sadness
9513,would hurt make feel pain would vain,"['would', 'hurt', 'make', 'feel', 'pain', 'would', 'vain']",7,sadness
9514,went upstairs feeling gloomy disappointed switched phone silent mode watched notebook instead,"['went', 'upstairs', 'feeling', 'gloomy', 'disappointed', 'switched', 'phone', 'silent', 'mode', 'watched', 'notebook', 'instead']",12,sadness
9515,feeling achievement,"['feeling', 'achievement']",2,fear
9516,already feeling emotional chance say anything turn say love,"['already', 'feeling', 'emotional', 'chance', 'say', 'anything', 'turn', 'say', 'love']",9,sadness
9517,hoped feel weakness every song every joke hear,"['hoped', 'feel', 'weakness', 'every', 'song', 'every', 'joke', 'hear']",8,anger
9520,feel yet heartless go men break heart,"['feel', 'yet', 'heartless', 'go', 'men', 'break', 'heart']",7,anger
9521,thought wont affected thinking feeling petty side,"['thought', 'wont', 'affected', 'thinking', 'feeling', 'petty', 'side']",7,anger
9524,also feeling pretty paranoid lot dont take drug,"['also', 'feeling', 'pretty', 'paranoid', 'lot', 'dont', 'take', 'drug']",8,fear
9526,sound feeling ballroom rel target blank sound feeling ballroom,"['sound', 'feeling', 'ballroom', 'rel', 'target', 'blank', 'sound', 'feeling', 'ballroom']",9,sadness
9527,starting feel dull pain front head eye,"['starting', 'feel', 'dull', 'pain', 'front', 'head', 'eye']",7,sadness
9532,feel low thinking motherland give fresh boost energy,"['feel', 'low', 'thinking', 'motherland', 'give', 'fresh', 'boost', 'energy']",8,sadness
9534,say couple thing twice order weird context laughter mix would make audience feel like joke,"['say', 'couple', 'thing', 'twice', 'order', 'weird', 'context', 'laughter', 'mix', 'would', 'make', 'audience', 'feel', 'like', 'joke']",15,sadness
9535,say bittersweet feeling feeling bitter,"['say', 'bittersweet', 'feeling', 'feeling', 'bitter']",5,anger
9536,feel tape last year make sure get,"['feel', 'tape', 'last', 'year', 'make', 'sure', 'get']",7,anger
9538,sort feel like one people unfortunate lost father life go,"['sort', 'feel', 'like', 'one', 'people', 'unfortunate', 'lost', 'father', 'life', 'go']",10,sadness
9539,feeling really unsuccessful lot way,"['feeling', 'really', 'unsuccessful', 'lot', 'way']",5,sadness
9540,feeling rather sentimental expressed blessed mother also best friend,"['feeling', 'rather', 'sentimental', 'expressed', 'blessed', 'mother', 'also', 'best', 'friend']",9,sadness
9542,feeling could unpleasant experience working,"['feeling', 'could', 'unpleasant', 'experience', 'working']",5,sadness
9546,feel like would mask dull problem instead help work way,"['feel', 'like', 'would', 'mask', 'dull', 'problem', 'instead', 'help', 'work', 'way']",10,sadness
